Class,Precision,Recall,F1-Score,Support
ABE,0.00,0.00,0.00,1
ART,0.86,0.78,0.82,2747
BAS,0.20,0.61,0.30,61
BLA,0.75,0.70,0.72,1675
EBO,0.88,0.92,0.90,3834
EOS,0.88,0.93,0.90,822
FGC,0.14,0.50,0.21,6
HAC,0.29,0.58,0.39,57
KSC,0.13,0.33,0.19,6
LYI,0.05,0.11,0.07,9
LYT,0.87,0.84,0.86,3673
MMZ,0.34,0.51,0.41,427
MON,0.49,0.67,0.57,564
MYB,0.59,0.56,0.58,917
NGB,0.58,0.66,0.61,1394
NGS,0.90,0.81,0.85,4118
NIF,0.53,0.44,0.48,494
OTH,0.54,0.63,0.58,41
PEB,0.61,0.70,0.65,382
PLM,0.76,0.84,0.80,1067
PMO,0.83,0.70,0.76,1678
