Class,Precision,Recall,F1-Score,Support
ABE,0.00,0.00,0.00,1
ART,0.72,0.83,0.77,2747
BAS,0.25,0.10,0.14,61
BLA,0.59,0.71,0.64,1675
EBO,0.88,0.91,0.90,3834
EOS,0.87,0.85,0.86,822
FGC,0.00,0.00,0.00,6
HAC,0.29,0.21,0.24,57
KSC,0.00,0.00,0.00,6
LYI,0.00,0.00,0.00,9
LYT,0.82,0.82,0.82,3673
MMZ,0.24,0.21,0.22,427
MON,0.41,0.42,0.41,564
MYB,0.51,0.39,0.44,917
NGB,0.54,0.57,0.55,1394
NGS,0.84,0.84,0.84,4118
NIF,0.38,0.38,0.38,494
OTH,0.20,0.24,0.22,41
PEB,0.75,0.38,0.51,382
PLM,0.82,0.63,0.71,1067
PMO,0.75,0.67,0.71,1678
