Class,Precision,Recall,F1-Score,Support
ABE,0.00,0.00,0.00,1
ART,0.72,0.86,0.78,2747
BAS,0.00,0.00,0.00,61
BLA,0.68,0.61,0.65,1675
EBO,0.89,0.90,0.90,3834
EOS,0.95,0.74,0.84,822
FGC,0.00,0.00,0.00,6
HAC,0.50,0.07,0.12,57
KSC,0.00,0.00,0.00,6
LYI,0.00,0.00,0.00,9
LYT,0.82,0.87,0.84,3673
MMZ,0.30,0.15,0.20,427
MON,0.54,0.47,0.50,564
MYB,0.62,0.32,0.42,917
NGB,0.52,0.70,0.60,1394
NGS,0.87,0.83,0.85,4118
NIF,0.60,0.32,0.42,494
OTH,0.00,0.00,0.00,41
PEB,0.74,0.53,0.62,382
PLM,0.65,0.83,0.73,1067
PMO,0.70,0.78,0.74,1678
