Class,Precision,Recall,F1-Score,Support
ABE,0.00,0.00,0.00,2
ART,0.85,0.77,0.81,5889
BAS,0.19,0.64,0.29,132
BLA,0.76,0.68,0.72,3591
EBO,0.88,0.92,0.90,8218
EOS,0.91,0.93,0.92,1764
FGC,0.05,0.14,0.07,14
HAC,0.27,0.58,0.37,122
KSC,0.32,0.83,0.47,12
LYI,0.13,0.37,0.20,19
LYT,0.86,0.83,0.85,7872
MMZ,0.33,0.49,0.40,916
MON,0.50,0.70,0.58,1212
MYB,0.63,0.58,0.60,1967
NGB,0.58,0.66,0.62,2990
NGS,0.90,0.81,0.86,8826
NIF,0.56,0.48,0.52,1061
OTH,0.58,0.74,0.65,88
PEB,0.61,0.73,0.66,822
PLM,0.77,0.85,0.81,2289
PMO,0.82,0.73,0.77,3598
