Class,Precision,Recall,F1-Score,Support
ABE,0.00,0.00,0.00,2
ART,0.72,0.83,0.77,5889
BAS,0.32,0.14,0.20,132
BLA,0.61,0.71,0.65,3591
EBO,0.88,0.91,0.89,8218
EOS,0.87,0.86,0.86,1764
FGC,0.08,0.07,0.08,14
HAC,0.26,0.16,0.20,122
KSC,0.00,0.00,0.00,12
LYI,0.00,0.00,0.00,19
LYT,0.82,0.83,0.82,7872
MMZ,0.24,0.22,0.23,916
MON,0.46,0.45,0.45,1212
MYB,0.52,0.41,0.46,1967
NGB,0.52,0.57,0.54,2990
NGS,0.84,0.84,0.84,8826
NIF,0.40,0.36,0.38,1061
OTH,0.19,0.22,0.20,88
PEB,0.76,0.40,0.52,822
PLM,0.84,0.63,0.72,2289
PMO,0.76,0.70,0.73,3598
